timestamp,accX,accY,accZ,temperature,humidity
1560,-6768,5100,12284,26.5,56.5
1570,-6748,5088,12332,26.5,56.5
1580,-6892,4668,12000,26.5,56.5
1590,-7084,4868,12264,26.5,56.5
1600,-6816,5176,12248,26.5,56.5
1610,-6804,5208,12448,26.5,56.5
1620,-6804,5164,12348,26.5,56.5
1630,-7244,4792,12256,26.6,56.5
1640,-6768,5180,12336,26.5,56.5
1650,-6828,5168,12376,26.5,56.5
1660,-6732,5160,12344,27.5,78.9
1670,-6844,5180,12252,27.5,81.2
1680,-6800,5148,12264,27.4,83.0
1690,-6800,5212,12336,27.9,87.5
1700,-6768,5032,12384,27.9,88.7
1710,-6852,5140,12280,27.7,90.8
1720,-6816,5140,12216,27.5,91.4
1730,-6748,5472,12364,27.4,91.8
1740,-6852,5092,12332,27.3,92.1
1750,-6856,5176,12212,27.1,92.2
1760,-6952,4656,12028,27.0,91.6
1770,-6792,5080,12268,27.0,90.2
1780,-6860,5100,12312,27.0,89.5
1790,-6828,5116,12300,26.9,88.6
1800,-6652,5136,12196,26.9,86.9
1810,-6772,5132,12320,26.9,85.8
1820,-7176,4312,11968,26.8,83.3
1830,-6628,4272,12040,26.7,82.1
1840,-6804,5208,12408,26.7,79.8
1850,-6824,5120,12388,26.7,78.8
1860,-6768,5096,12220,26.7,77.8
1870,-6680,5116,12380,26.6,75.9
1880,-6760,5168,12364,26.6,74.9
1890,-6836,5112,12360,26.5,72.9
1900,-6800,5164,12464,26.5,72.1
1910,-6816,5156,12312,26.5,71.3
1920,-6808,5160,12200,26.5,69.9
1930,-6860,5052,12320,26.5,69.2
1940,-6800,5196,12324,26.5,66.8
1950,-6784,5132,12336,26.5,66.4
1960,-6816,5200,12372,26.5,65.9
1970,-6884,5192,12224,26.5,65.1
1980,-6596,5120,12276,26.5,64.7
1990,-6776,5168,12260,26.4,63.7
2000,-6856,5060,12328,26.5,63.2
2010,-6852,5148,12252,26.4,63.1
2020,-6728,5248,12284,27.2,74.1
2030,-6836,4920,12720,27.3,80.8
2040,-7696,4888,12640,27.4,87.1
2050,-6784,5052,12408,27.6,89.5
2060,-6756,5108,12404,27.5,90.5
2070,-6776,5092,12324,27.6,92.4
